Memory_Generator,Line_Size,CPI,L1_Hit_Rate,L2_Hit_Rate,Avg_Memory_Access_Time
memGen1,16,1.925880,0.937499,0.847383,3.645281
memGen1,32,1.689090,0.968745,0.714392,2.964540
memGen1,64,1.555650,0.984372,0.462360,2.588139
memGen1,128,1.277150,0.992187,0.461351,1.793492
memGen2,16,2.897990,0.692699,0.997897,6.417303
memGen2,32,2.901000,0.692808,0.997879,6.434783
memGen2,64,2.892200,0.694719,0.997821,6.408124
memGen2,128,2.891330,0.694133,0.997867,6.408977
memGen3,16,3.941220,0.498778,0.998164,9.408603
memGen3,32,3.945060,0.499869,0.998070,9.411525
memGen3,64,3.942540,0.500224,0.998138,9.407137
memGen3,128,3.942340,0.498965,0.998134,9.420086
memGen4,16,1.005760,0.999267,0.750000,1.016482
memGen4,32,1.004480,0.999634,0.500000,1.012825
memGen4,64,1.003840,0.999817,0.000000,1.010976
memGen4,128,1.001920,0.999909,0.000000,1.005487
memGen5,16,21.724120,0.000000,0.644831,60.151099
memGen5,32,21.718980,0.000000,0.644721,60.165812
memGen5,64,19.259540,0.499997,0.402322,53.225623
memGen5,128,11.108740,0.749998,0.455066,29.911439
