Memory_Generator,Line_Size,CPI,L1_Hit_Rate,L2_Hit_Rate,Avg_Memory_Access_Time
memGen1,16,1.924650,0.937498,0.846728,3.647758
memGen1,32,1.685970,0.968749,0.713682,2.964562
memGen1,64,1.553710,0.984373,0.460773,2.585930
memGen1,128,1.277170,0.992183,0.462491,1.793635
memGen2,16,3.064780,0.664339,0.998014,6.907084
memGen2,32,3.063840,0.665406,0.998008,6.903179
memGen2,64,3.067270,0.665495,0.998027,6.908292
memGen2,128,3.051900,0.667548,0.997996,6.866812
memGen3,16,32.451080,0.000243,0.215470,90.761235
memGen3,32,32.444960,0.000240,0.269332,90.772976
memGen3,64,32.479070,0.000271,0.304597,90.797550
memGen3,128,32.493800,0.000265,0.157930,90.837519
memGen4,16,1.005760,0.999267,0.750000,1.016490
memGen4,32,1.004480,0.999634,0.500000,1.012827
memGen4,64,1.003840,0.999817,0.000000,1.010994
memGen4,128,1.001920,0.999908,0.000000,1.005497
memGen5,16,21.702220,0.000000,0.645185,60.173715
memGen5,32,21.702220,0.000000,0.645185,60.173715
memGen5,64,19.241070,0.499999,0.403267,53.251854
memGen5,128,11.113230,0.749997,0.454760,29.920724
